+---------------------------------------------------+
| Time of Transition | PID  | Old State | New State |
+---------------------------------------------------+
|                  0 | 13   |       new |     ready |
|                  0 | 13   |     ready |   running |
|                  9 | 12   |       new |     ready |
|                  9 | 12   |     ready |   running |
|                  9 | 13   |   running |   waiting |
|                 14 | 13   |   waiting |     ready |
|                 17 | 13   |     ready |   running |
|                 26 | 13   |   running |   waiting |
|                 26 | 15   |       new |     ready |
|                 26 | 15   |     ready |   running |
|                 31 | 13   |   waiting |     ready |
|                 47 | 13   |     ready |   running |
|                 56 | 11   |       new |     ready |
|                 56 | 11   |     ready |   running |
|                 56 | 13   |   running |   waiting |
|                 56 | 15   |   running |   waiting |
|                 61 | 13   |   waiting |     ready |
|                 61 | 13   |     ready |   running |
|                 66 | 15   |   waiting |     ready |
|                 70 | 11   |   running |   waiting |
|                 70 | 12   |   running |   waiting |
|                 70 | 13   |   running |   waiting |
|                 70 | 14   |       new |     ready |
|                 70 | 14   |     ready |   running |
|                 70 | 15   |   running |   waiting |
|                 72 | 15   |     ready |   running |
|                 73 | 11   |   waiting |     ready |
|                 73 | 11   |   running |   waiting |
|                 73 | 12   |   waiting |     ready |
|                 73 | 12   |     ready |   running |
|                 73 | 14   |   running |   waiting |
|                 73 | 15   |   running |   waiting |
|                 75 | 13   |   waiting |     ready |
|                 76 | 11   |   waiting |     ready |
|                 79 | 12   |   running |   waiting |
|                 79 | 13   |     ready |   running |
|                 79 | 14   |   waiting |     ready |
|                 80 | 15   |   waiting |     ready |
|                 80 | 15   |     ready |   running |
|                 81 | 11   |     ready |   running |
|                 81 | 11   |     ready |   running |
|                 82 | 12   |   waiting |     ready |
|                 82 | 13   |   running |   waiting |
|                 82 | 14   |     ready |   running |
|                 83 | 15   |   waiting |     ready |
|                 83 | 15   |     ready |   running |
|                 87 | 13   |   waiting |     ready |
|                 88 | 11   |   running | terminated |
|                 88 | 15   |   running | terminated |
|                 93 | 13   |     ready |   running |
|                102 | 12   |     ready |   running |
|                102 | 13   |   running |   waiting |
|                107 | 13   |   waiting |     ready |
|                110 | 13   |     ready |   running |
|                119 | 12   |   running |   waiting |
|                119 | 13   |   running |   waiting |
|                119 | 14   |   running |   waiting |
|                122 | 12   |   waiting |     ready |
|                122 | 12   |     ready |   running |
|                122 | 13   |   running |   waiting |
|                124 | 13   |   waiting |     ready |
|                124 | 13   |     ready |   running |
|                125 | 12   |   running |   waiting |
|                125 | 13   |   running |   waiting |
|                125 | 14   |   waiting |     ready |
|                125 | 14   |     ready |   running |
|                127 | 13   |   waiting |     ready |
|                128 | 12   |   waiting |     ready |
|                130 | 13   |     ready |   running |
|                130 | 13   |   waiting |     ready |
|                136 | 13   |     ready |   running |
|                136 | 14   |   running |   waiting |
|                142 | 12   |     ready |   running |
|                142 | 13   |   running |   waiting |
|                142 | 14   |   waiting |     ready |
|                147 | 13   |   waiting |     ready |
|                150 | 13   |     ready |   running |
|                159 | 13   |   running | terminated |
|                159 | 14   |     ready |   running |
|                170 | 12   |   running |   waiting |
|                170 | 14   |   running |   waiting |
|                173 | 12   |   waiting |     ready |
|                173 | 12   |     ready |   running |
|                176 | 12   |   running |   waiting |
|                176 | 14   |   waiting |     ready |
|                176 | 14   |     ready |   running |
|                179 | 12   |   waiting |     ready |
|                187 | 12   |     ready |   running |
|                187 | 14   |   running |   waiting |
|                193 | 14   |   waiting |     ready |
|                195 | 12   |   running |   waiting |
|                195 | 14   |     ready |   running |
|                198 | 12   |   waiting |     ready |
|                206 | 12   |     ready |   running |
|                206 | 14   |   running |   waiting |
|                212 | 14   |   waiting |     ready |
|                218 | 12   |   running |   waiting |
|                218 | 14   |     ready |   running |
|                221 | 12   |   waiting |     ready |
|                229 | 12   |     ready |   running |
|                229 | 14   |   running |   waiting |
|                233 | 12   |   running | terminated |
|                235 | 14   |   waiting |     ready |
|                235 | 14   |     ready |   running |
|                247 | 14   |   running |   waiting |
|                253 | 14   |   waiting |     ready |
|                253 | 14   |     ready |   running |
|                254 | 14   |   running | terminated |
+---------------------------------------------------+
