+--------------+-------------+--------------------------------+-------------------+-------------------+
| Time of Event | Memory Used |       Partitions State         | Total Free Memory | Usable Free Memory |
+--------------+-------------+--------------------------------+-------------------+-------------------+
|          0 |           0 | -1, -1, -1, -1, -1, -1         |             100 |             100 |
|          0 |           7 | -1, -1, -1, -1, 13, -1         |              93 |              92 |
|          9 |          12 | -1, -1, -1, 12, 13, -1         |              88 |              82 |
|         26 |          23 | -1, -1, 15, 12, 13, -1         |              77 |              67 |
|         56 |          43 | -1, 11, 15, 12, 13, -1         |              57 |              42 |
|         70 |          53 | 14, 11, 15, 12, 13, -1         |              47 |               2 |
|         88 |          33 | 14, -1, 15, 12, 13, -1         |              67 |              27 |
|         88 |          22 | 14, -1, -1, 12, 13, -1         |              78 |              42 |
|        159 |          15 | 14, -1, -1, 12, -1, -1         |              85 |              50 |
|        233 |          10 | 14, -1, -1, -1, -1, -1         |              90 |              60 |
|        254 |           0 | -1, -1, -1, -1, -1, -1         |             100 |             100 |
